# %ECSV 1.0
# ---
# datatype:
# - {name: Wavelength (microns), datatype: float64}
# - {name: Transit Depth (Rp/Rs)^2, datatype: float64}
# meta: !!omap
# - {Overview: 'PICASO model for pure 1 bar methane atmosphere on LHS 475 b, generated by S.E. Moran and offset to measured transit depth '}
# - {Program: JWST GO 1981}
# - {Target: LHS 475 b}
# - {Observation(s): '41:1, 43:1'}
# - {Reference(s): Lustig-Yaeger & Fu et al. (2023)}
# - {ArXiV Link: 'https://doi.org/10.48550/arXiv.2301.04191'}
# schema: astropy-2.0
"Wavelength (microns)" "Transit Depth (Rp/Rs)^2"
2.828708754161552 0.0010341482375251032
2.868782456039438 0.0010385203684082963
2.9088455917111453 0.001045083039131192
2.948894398196724 0.001055348666782542
2.9889285141293414 0.0010648039628606948
3.028947578142162 0.0010749105862721212
3.068951228868352 0.001089351879358323
3.1089391049410784 0.0011014756170046143
3.1489108449935057 0.0011096053734922417
3.1888660876588006 0.001112442910379061
3.228804471570129 0.0011129956903994907
3.2687256353606555 0.0011114518451602353
3.308629217663548 0.0011128744237512444
3.3485148571119714 0.0011149142761182234
3.3883821923390913 0.0011119726480297756
3.428230861978074 0.0011127371872614994
3.468060504662085 0.0011126628224182166
3.5078707590242906 0.001111486988837789
3.547661263697857 0.0011103445728366192
3.5874316573159493 0.0011080855153514785
3.627181578511734 0.0011071910725243244
3.7032311317511715 0.0010994834942687015
3.815558781672052 0.0010932211773943758
3.891502003548509 0.0010904828030685707
3.9310761983111755 0.0010870861244309108
3.9706200603711403 0.0010842958528255574
4.010143797276384 0.0010793986232887107
4.049652087486397 0.0010746842635408855
4.089135020466174 0.0010705067327229565
4.128580463134636 0.0010661459571856093
4.167994252705978 0.0010622305996788642
4.207393460354563 0.0010591598421038594
4.246766967288519 0.0010550873193445876
4.286103129386902 0.0010522148751957179
4.325417726726855 0.0010473159269141817
4.36470515647177 0.0010430735976516739
4.403959070221852 0.0010398038098832342
4.443186507386676 0.001035794790842883
4.4823836977198965 0.0010331063855735702
4.521550279552654 0.0010305936507495103
4.560685598244102 0.0010273343586438375
4.59979042966487 0.001024152403767387
4.6388611732903176 0.0010229047596449113
4.677900397171408 0.0010237011218439587
4.716908402362112 0.0010245474148019478
4.755877030097832 0.0010250610402458165
4.794812630798857 0.0010266255584555802
4.83371751389261 0.0010298261189946388
4.872584205562786 0.001033751485588093
4.911409753864094 0.0010368168471349614
4.950197518882105 0.0010411577228715537
4.988949339268571 0.0010452257754953586
5.0276624651278485 0.0010479122845565747
5.066338856341475 0.0010503783801689675
5.104986184734409 0.0010519422403232536
5.143614599260233 0.0010557947773421476
