# %ECSV 1.0
# ---
# datatype:
# - {name: Wavelength (microns), datatype: float64}
# - {name: Wavelength Full Widths (microns), datatype: float64}
# - {name: Transit Depth (Rp/Rs)^2, datatype: float64}
# - {name: Transit Depth Uncertainty, datatype: float64}
# meta: !!omap
# - {Overview: This is a coadded transmission spectrum of LHS 475 b reduced by G. Fu using the FIREFLy data reduction pipeline. This spectrum
#     has been binned to a lower resolution containing 56 data points.}
# - {Program: JWST GO 1981}
# - {Target: LHS 475 b}
# - {Observation(s): '41:1, 43:1'}
# - {Reference(s): Lustig-Yaeger & Fu et al. (2023)}
# - {ArXiV Link: 'https://doi.org/10.48550/arXiv.2301.04191'}
# schema: astropy-2.0
"Wavelength (microns)" "Wavelength Full Widths (microns)" "Transit Depth (Rp/Rs)^2" "Transit Depth Uncertainty"
2.828708754161552 0.040077 0.1120803859479898 0.003428600280678274
2.8687859479942617 0.040063 0.10873512011422633 0.003046082908516506
2.908849174007677 0.040049 0.10275674534369106 0.002928556747105052
2.9488980708349644 0.040034 0.1083204718647718 0.0027219456362355017
2.9889322771092903 0.040019 0.1038122072175476 0.0026285315817360204
3.0289514314638195 0.040004 0.10835314008184528 0.002513874245592308
3.0689551725317186 0.039988 0.10501782755460218 0.0025152447056828765
3.1089431389461524 0.039972 0.10692038744468717 0.002502096004598935
3.148914969340289 0.039955 0.10538804527669253 0.0024839036856488866
3.1888703023472926 0.039938 0.11014929538441665 0.0024608804044441803
3.228808776600329 0.039921 0.10984864051738048 0.002535136584121432
3.2687300307325646 0.039904 0.10739269522736118 0.0024357775776917747
3.308633703377165 0.039886 0.10311449896425165 0.0024199965146929803
3.348519433167297 0.039867 0.10683641230908607 0.0024436070008825206
3.3883868587361254 0.039849 0.10576172304729847 0.00244623175241363
3.428235618716817 0.03983 0.10109359606685442 0.002415168733624029
3.468065351742536 0.03981 0.10631904669837504 0.0024390679247867086
3.50787569644645 0.039791 0.10918687387245386 0.0024757638629101263
3.547666291461726 0.03977 0.10445175017887702 0.002441132304930749
3.5874367754215255 0.03975 0.10723660160072523 0.0025010499528233068
3.6271867869590193 0.039729 0.10587686206446666 0.0025017216778798835
3.66691596470737 0.039729 0.10777316493064049 0.0025554475323993475
3.8519058106309276 0.039602 0.10303378320749419 0.0028276953148541
3.8915075407189836 0.03958 0.10737297268681989 0.0028769793934636054
3.931087122125141 0.039536 0.10160232820363736 0.0029667726619355557
3.970623008275436 0.039524 0.10771183818962558 0.003000165174126259
4.010147102808548 0.039511 0.10876117904989842 0.0031068083034289356
4.049657975213003 0.039487 0.10355896816560908 0.0032039126859189897
4.089145296711033 0.039446 0.10297640589841975 0.0033519693509553813
4.128591513229629 0.039402 0.10461076593135726 0.0033234213103372485
4.167993529368255 0.039405 0.10639560283471268 0.003464196649912991
4.207398438857774 0.039385 0.103973804629386 0.0036024955967293355
4.246783434334448 0.039319 0.10851717911294488 0.003668735942553766
4.286102561627404 0.039321 0.10995833052992546 0.0038518817357681406
4.325423959958351 0.039296 0.10173721526836339 0.004023636249540229
4.3647204253633145 0.039235 0.10290469140606986 0.004127337514750224
4.403955815202099 0.039248 0.09829192317366413 0.0043302165674557955
4.4432042251198975 0.039178 0.10955348964983606 0.004432942156484059
4.482381764104811 0.039185 0.10624895736727479 0.004524396586014034
4.52156703755007 0.039118 0.11273817882466723 0.00467665439024988
4.560685279005665 0.03912 0.11199539001421106 0.004762437676912154
4.599804797415006 0.039062 0.11068896701636231 0.004935635646157279
4.638866844823805 0.039039 0.11125020252571553 0.004894596750198559
4.677906206098654 0.039016 0.11096509560831096 0.005012619325512735
4.716922331664522 0.03896 0.10097155085113688 0.00515208720764082
4.755882740020752 0.038938 0.10432741335164408 0.005253078241954406
4.794820308685303 0.038907 0.10282458863155236 0.005458370867025506
4.833727165804071 0.038868 0.10490573256413306 0.005534723393302433
4.872595415276996 0.038823 0.10946239075998423 0.0056415059643104525
4.911418825893079 0.038787 0.11219062373948294 0.0058167596148519215
4.950205948393224 0.038753 0.09725438758534527 0.0059271346389746585
4.988959352848894 0.038713 0.11018852409614152 0.006231333221184644
5.027672702983274 0.038672 0.11276524436077533 0.006247728385228097
5.0663451016959495 0.038647 0.10099556816445271 0.006329852238235598
5.104992518990727 0.038622 0.11338712409377406 0.006674458820754433
5.143614599260233 0.038622 0.11177667084367271 0.006939061710997006
