# %ECSV 1.0
# ---
# datatype:
# - {name: Wavelength (microns), datatype: float64}
# - {name: Transit Depth (Rp/Rs)^2, datatype: float64}
# meta: !!omap
# - {Overview: 'CHIMERA model for 1x solar atmosphere on LHS 475 b, generated by S.E. Moran and offset to measured transit depth '}
# - {Program: JWST GO 1981}
# - {Target: LHS 475 b}
# - {Observation(s): '41:1, 43:1'}
# - {Reference(s): Lustig-Yaeger & Fu et al. (2023)}
# - {ArXiV Link: 'https://doi.org/10.48550/arXiv.2301.04191'}
# schema: astropy-2.0
"Wavelength (microns)" "Transit Depth (Rp/Rs)^2"
2.828708754161552 0.0011859301935126985
2.868782456039438 0.001118277620182977
2.9088455917111453 0.0010742023322441317
2.948894398196724 0.0010198574565295476
2.9889285141293414 0.0010315694666160713
3.028947578142162 0.001028674673997902
3.068951228868352 0.001092243742035189
3.1089391049410784 0.0013189410289211317
3.1489108449935057 0.0016038359341205913
3.1888660876588006 0.0017726569424075947
3.228804471570129 0.0017821145633647498
3.2687256353606555 0.0016372582943219066
3.308629217663548 0.0023653290967130996
3.3485148571119714 0.0018363477786195064
3.3883821923390913 0.0016845773999836443
3.428230861978074 0.0017281326551673
3.468060504662085 0.0017592564936006745
3.5078707590242906 0.0016315266866250072
3.547661263697857 0.001510758600790372
3.5874316573159493 0.001456981082811591
3.627181578511734 0.0013761956414284605
3.7032311317511715 0.0012112753031219476
3.815558781672052 0.0011146327944725849
3.891502003548509 0.0010626888301731754
3.9310761983111755 0.0010117452540510398
3.9706200603711403 0.0009708840789500275
4.010143797276384 0.0009210021157825352
4.049652087486397 0.0008692555129148948
4.089135020466174 0.000836267433934593
4.128580463134636 0.0008140138695769154
4.167994252705978 0.0007887783339821147
4.207393460354563 0.0008183080190241514
4.246766967288519 0.0008220878767151102
4.286103129386902 0.0007979154934812088
4.325417726726855 0.0007753855928370182
4.36470515647177 0.0007628331117763025
4.403959070221852 0.0007502806307155868
4.443186507386676 0.0007253309093013648
4.4823836977198965 0.0007060528088659965
4.521550279552654 0.000710594623245733
4.560685598244102 0.0006735581102109145
4.59979042966487 0.0006740296856401768
4.6388611732903176 0.0007133673571260738
4.677900397171408 0.0007138607225495724
4.716908402362112 0.000714354087973071
4.755877030097832 0.0007125488199219378
4.794812630798857 0.000740386630442986
4.83371751389261 0.0007387698307574338
4.872584205562786 0.0007469683000758294
4.911409753864094 0.000755166769394225
4.950197518882105 0.0008019633863476246
4.988949339268571 0.0007961315922080975
5.0276624651278485 0.0008414781629307133
5.066338856341475 0.0008472361959012506
5.104986184734409 0.000852994228871788
5.143614599260233 0.0009164116431782717
